"id","agcy_agencies_id","title","tags","created_at","created_by_agency_member_id","updated_at","updated_by_agency_member_id","deleted_at","deleted_by_agency_member_id"
42,19,"6 สถานที่ชม ซากุระ ญี่ปุ่น","","2021-04-14 03:30:24",197,"2021-04-14 03:30:24",197,NULL,NULL
43,19,"เตรียมตัว ขอวีซ่าไอซ์แลนด์","","2021-04-14 04:03:54",197,"2021-04-14 04:03:54",197,NULL,NULL
44,19,"10 ออนเซ็นในโตเกียว แช่ได้ไม่ต้องไปต่างจังหวัด","โตเกียว,SPA LA QUA,Tokyo Somei Onsen Sakura,Toshimaen Niwa No Yu,Nagomi no Yu,Oedo Onsen Monogatari Hot Springs,โรงแรมดอร์มี อินน์ โตเกียว-ฮัทโจโบริ,โรงแรมชินซันโซ โตเกียว,โรงแรม เดอะ พรินซ์ พาร์ค ทาวเวอร์ โตเกียว,โรงแรมเอพีเอ อาซาคุสะ-คุรามาเอะ,Edogawabashi,Akabanebashi","2021-04-14 04:12:52",197,"2021-08-20 03:24:05",197,NULL,NULL
45,5,"ปักหมุด 20 ที่เที่ยวกระบี่จุดเช็คอินสุดฮิตของคนรักทะเล!","เที่ยวกระบี่,แหล่งท่องเที่ยวกระบี่,จุดชมวิวกระบี่,เที่ยวทะเล,ทะเลสวยเมืองกระบี่","2021-04-20 03:05:28",151,"2021-06-08 10:30:53",151,NULL,NULL
46,75,"รีวิวคุณลูกค้า กรุ๊ปชีพจรลงsouth ทัวร์ระนอง ชุมพร ประจวบคีรีขันธ์ วันที่ 3-6 April'21","ทัวร์ระนอง,เที่ยวภาคใต้,ดำน้ำดูปะการัง,กินลมห่มทราย,บ่อน้ำพุร้อนออนเซน,Thailandamazingยิ่งกว่าเดิม,แพคเกจเที่ยวไทย,jubileetravelthai,ทัวร์ชุมพร,ทัวร์ประจวบคีรีขันธ์,ทัวร์เที่ยวไทย","2021-04-20 03:21:33",265,"2021-04-20 04:02:38",263,NULL,NULL
47,5,"20 ที่เที่ยวระยองฮิ มาเที่ยวระยองมาลองตกหลุมรัก!","ที่เที่ยวระยอง,แหล่งท่องเที่ยวระยอง,จุดชมวิวระยอง,เที่ยวทะเลระยอง,เที่ยวทะเลใกล้กรุงเทพมหานคร","2021-04-20 03:35:12",151,"2021-06-08 10:29:29",151,NULL,NULL
48,5,"20 ที่เที่ยวตราด เที่ยวครบ ๆ ทะเล ภูเขา และวัฒนธรรม!","ที่เที่ยวตราด,แหล่งท่องเที่ยวตราด,จุดชมวิวตราด,เที่ยวทะเลตราด,เที่ยวหน้าร้อน,เที่ยวทะเลในไทย","2021-04-20 04:15:21",151,"2021-06-08 10:24:39",151,NULL,NULL
49,5,"20 ที่เที่ยวชุมพรประตูสู่ภาคใต้มีอะไรดีกว่าที่คิด!","เที่ยวชุมพร,ที่ท่องเที่ยวชุมพร,จุดชมวิวชุมพร,แหล่งท่องเที่ยวชุมพร,เที่ยวทะเลชุมพร,ประตูสู่ภาคใต้ชุมพร","2021-04-21 02:54:26",151,"2021-06-08 10:20:58",151,NULL,NULL
50,5,"10 จุดเช็คอินเที่ยว ตรัง ไม่ได้มีดีแค่ทะเล","เที่ยวตรัง,ที่ท่องเที่ยวตรัง,จุดชมวิวตรัง,เที่ยวทะเลตรัง,แหล่งท่องเที่ยวตรัง,เที่ยวในประเทศ","2021-04-21 03:09:54",151,"2021-06-08 10:18:22",151,NULL,NULL
51,5,"20 ที่เที่ยว ชลบุรี เที่ยวเมื่อไหร่ก็ยังฟิน!","ทีเที่ยวชลบุรี,แหล่งท่องเที่ยวชลบุรี,จุดเช็คอินชลบุรี,จุดชมวิวชลบุรี,แหล่งท่องเที่ยวใกล้กรุงเทพมหานคร","2021-04-21 04:06:23",151,"2021-06-08 10:13:58",151,NULL,NULL
52,75,"15 ที่เที่ยวน่าน","","2021-04-21 04:54:48",265,"2021-04-21 05:03:39",265,"2021-04-21 05:03:39",265
53,75,"11 ที่เที่ยว สุโขทัย ตะลอนกินเที่ยวทั้งวัน กับนู๋JUB","ทัวร์สุโขทัย,เที่ยวสุโขทัย,รีวิวสุโขทัย,สุโขทัย,แพคเกจสุโขทัย,ทัวร์เที่ยวไทย,Thailandamazingยิ่งกว่าเดิม,ตั๋วเครื่องบินราคาถูก","2021-04-21 10:15:02",263,"2021-04-23 05:42:01",263,NULL,NULL
54,59,"การเดินทางของเจ้าหัวโต .. Japan Nagoya # 1 ","","2021-04-21 10:24:57",195,"2021-04-22 09:30:57",195,NULL,NULL
55,59,"การเดินทางของเจ้าหัวโต .. Japan  Nagoya # 2 ","","2021-04-21 10:46:53",195,"2021-04-22 09:50:18",195,NULL,NULL
56,75," สุโขทัย รีวิว : วัดตระพังทอง วัดโบราณกลางสระน้ำ จังหวัดสุโขทัย","ทัวร์สุโขทัย,เที่ยวสุโขทัย,รีวิวสุโขทัย,วัดตระพังทอง,แพคเกจสุโขทัย,ทัวร์เที่ยวไทย,Thailandamazingยิ่งกว่าเดิม,แพคเกจวัดตระพังทอง,รีวิววัดตระพังทอง,ตั๋วเครื่องบินราคาถูก","2021-04-22 02:49:40",263,"2021-04-23 05:43:10",263,NULL,NULL
57,59,"การเดินทางของเจ้าหัวโต .. Japan Nagoya # 3 ","","2021-04-22 03:44:50",195,"2021-05-06 03:03:01",195,NULL,NULL
58,91,"มัลดีฟส์ เตรียมฉีดวัคซีนฟรีให้กับนักท่องเที่ยวต่างชาติ กระตุ้นการท่องเที่ยว","มัลดีฟส์,รีวิวมัลดีฟส์,ทะเล,เกาะมัลดีฟส์,วัคซีน,โควิด19,การท่องเที่ยว","2021-04-22 05:41:49",328,"2021-04-22 05:45:41",328,NULL,NULL
59,59,"การเดินทางของเจ้าหัวโต .. Japan Nagoya # 4 ","","2021-04-22 06:11:37",195,"2021-06-18 03:06:57",195,NULL,NULL
60,75,"นอนฟินริมโขง “เลย” รีวิว : แก่งคุดคู้ พัก เชียงคานฮิลล์ รีสอร์ท","ทัวร์เลย,เที่ยวเลย,แพคเกจเลย,ทัวร์เที่ยวไทย,เชียงคาน,ตั๋วเครื่องบินราคาถูก,Thalandamazingยิ่งกว่าเดิม,ที่พักเชียงคาร,รีวิวเลย,รีวิวเชียงคาน,แก่งคุดคู้,รีวิวแก่งคุ้ดคู้,แพคเกจเชียงคาน,แพคเกจแก่งคุ้ดคู้","2021-04-22 06:38:23",263,"2021-04-23 05:16:24",263,NULL,NULL
61,59,"การเดินทางของเจ้าหัวโต .. Japan Nagoya # 5 ","","2021-04-22 06:45:28",195,"2021-06-18 03:14:16",195,NULL,NULL
62,75,"นครสวรรค์ รีวิว : พาสาน แลนด์มาร์คแห่งใหม่","ทัวร์นครสวรรค์,เที่ยวนครสวรรค์,ทัวร์เที่ยวไทย,แพคเกจนครสวรรค์,พาสาน,รีวิวนครสวรรค์,รีวิวพาสาน,Thailandamazingยิ่งกว่าเดิม,ตั๋วเครื่องบินราคาถูก","2021-04-22 06:56:18",263,"2021-04-23 05:14:08",263,NULL,NULL
